timestamp,candle_time,equity,action,trade_type,lots,price,comment
2025-12-31 14:45:03,2025-12-31 14:45:00,100000.00,0.2450,SIGNAL,0,0,
2025-12-31 14:50:03,2025-12-31 14:50:00,100000.00,0.4784,SIGNAL,0,0,
2025-12-31 14:55:03,2025-12-31 14:55:00,100000.00,0.2907,SIGNAL,0,0,
2025-12-31 16:30:03,2025-12-31 16:30:00,100000.00,1.0000,SIGNAL,0,0,
2025-12-31 16:40:03,2025-12-31 16:40:00,100000.00,1.0000,SIGNAL,0,0,
2025-12-31 16:40:03,2025-12-31 16:40:00,100000.00,1.0000,ORDER_FAILED_NONE,1.0,4333.32,Err: (-2, 'Invalid "volume" argument')
2025-12-31 16:50:03,2025-12-31 16:50:00,100000.00,1.0000,SIGNAL,0,0,
2025-12-31 16:50:03,2025-12-31 16:50:00,99981.00,1.0000,BUY,1.0,4330.97,SL: 4309.32 TP: 4395.93
2025-12-31 16:55:02,2025-12-31 16:55:00,100278.00,1.0000,SIGNAL,0,0,
2025-12-31 17:00:03,2025-12-31 17:00:00,100623.00,1.0000,SIGNAL,0,0,
2025-12-31 17:05:02,2025-12-31 17:05:00,99516.00,0.9934,SIGNAL,0,0,
2025-12-31 17:10:02,2025-12-31 17:10:00,99687.00,0.5916,SIGNAL,0,0,
2025-12-31 17:15:03,2025-12-31 17:15:00,99231.00,0.3526,SIGNAL,0,0,
2025-12-31 17:20:02,2025-12-31 17:20:00,99680.00,0.2625,SIGNAL,0,0,
2025-12-31 17:25:02,2025-12-31 17:25:00,99744.00,0.2204,SIGNAL,0,0,
2025-12-31 17:30:03,2025-12-31 17:30:00,99424.00,0.8868,SIGNAL,0,0,
2025-12-31 17:35:02,2025-12-31 17:35:00,99497.00,0.4852,SIGNAL,0,0,
2025-12-31 17:40:03,2025-12-31 17:40:00,99202.00,0.7467,SIGNAL,0,0,
2025-12-31 17:45:02,2025-12-31 17:45:00,98818.00,0.6182,SIGNAL,0,0,
2025-12-31 17:50:02,2025-12-31 17:50:00,99104.00,0.5900,SIGNAL,0,0,
2025-12-31 17:55:02,2025-12-31 17:55:00,99125.00,0.5275,SIGNAL,0,0,
2025-12-31 18:00:02,2025-12-31 18:00:00,99171.00,0.3237,SIGNAL,0,0,
2025-12-31 18:05:03,2025-12-31 18:05:00,99400.00,0.0093,SIGNAL,0,0,
2025-12-31 18:05:04,2025-12-31 18:05:00,99427.00,0.0093,CLOSE,1.0,4325.15,Pos: 54516303320
2025-12-31 18:10:02,2025-12-31 18:10:00,99427.00,-0.1869,SIGNAL,0,0,
2025-12-31 18:15:02,2025-12-31 18:15:00,99427.00,-1.0000,SIGNAL,0,0,
2025-12-31 18:15:03,2025-12-31 18:15:00,99417.10,1.0000,SELL,0.99,4323.44,SL: 4345.06 TP: 4258.59
2025-12-31 18:20:03,2025-12-31 18:20:00,99502.24,-0.3833,SIGNAL,0,0,
2025-12-31 18:25:02,2025-12-31 18:25:00,99477.49,-1.0000,SIGNAL,0,0,
2025-12-31 18:30:03,2025-12-31 18:30:00,99706.18,-0.6689,SIGNAL,0,0,
2025-12-31 18:35:03,2025-12-31 18:35:00,99189.40,-0.8391,SIGNAL,0,0,
2025-12-31 18:40:02,2025-12-31 18:40:00,99116.14,-1.0000,SIGNAL,0,0,
2025-12-31 18:45:03,2025-12-31 18:45:00,99177.52,-1.0000,SIGNAL,0,0,
2025-12-31 18:50:02,2025-12-31 18:50:00,99231.97,-1.0000,SIGNAL,0,0,
2025-12-31 18:55:02,2025-12-31 18:55:00,99291.37,-1.0000,SIGNAL,0,0,
2025-12-31 19:00:03,2025-12-31 19:00:00,99522.04,-1.0000,SIGNAL,0,0,
2025-12-31 19:05:02,2025-12-31 19:05:00,99211.18,-1.0000,SIGNAL,0,0,
2025-12-31 19:10:03,2025-12-31 19:10:00,99357.70,-1.0000,SIGNAL,0,0,
2025-12-31 19:15:02,2025-12-31 19:15:00,98989.42,-1.0000,SIGNAL,0,0,
2025-12-31 19:20:02,2025-12-31 19:20:00,99002.29,-0.7543,SIGNAL,0,0,
2025-12-31 19:25:03,2025-12-31 19:25:00,99092.38,-0.6027,SIGNAL,0,0,
