timestamp,candle_time,equity,pos_act,mult_act,trade_type,lots,price,comment
2026-01-05 02:43:19,2026-01-05 03:40:00,101617.66,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 02:43:20,2026-01-05 03:40:00,101615.36,-1.0000,0.5000,SELL,0.1,4398.77,LiveTrade
2026-01-05 02:45:01,2026-01-05 03:45:00,101564.16,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 02:45:01,2026-01-05 03:45:00,101561.86,-1.0000,0.5000,SELL,0.1,4403.16,LiveTrade
2026-01-05 02:49:55,2026-01-05 03:50:00,101600.06,-0.8028,0.5000,SIGNAL,0,0,
2026-01-05 02:54:59,2026-01-05 03:55:00,101646.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 02:54:59,2026-01-05 03:55:00,101644.46,-1.0000,0.5000,SELL,0.1,4398.49,LiveTrade
2026-01-05 02:59:53,2026-01-05 04:00:00,101606.36,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:04:57,2026-01-05 04:05:00,101596.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:04:57,2026-01-05 04:05:00,101594.46,-1.0000,0.5000,SELL,0.1,4399.35,LiveTrade
2026-01-05 03:10:01,2026-01-05 04:10:00,101684.46,1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:10:01,2026-01-05 04:10:00,101684.46,1.0000,0.5000,CLOSE,0.1,4390.58,Sniper Reverse
2026-01-05 03:10:01,2026-01-05 04:10:00,101682.16,1.0000,0.5000,BUY,0.1,4390.58,LiveTrade
2026-01-05 03:14:55,2026-01-05 04:15:00,101718.76,0.3005,0.5000,SIGNAL,0,0,
2026-01-05 03:20:00,2026-01-05 04:20:00,101721.16,-0.0766,0.5000,SIGNAL,0,0,
2026-01-05 03:24:54,2026-01-05 04:25:00,101751.86,0.5075,0.5000,SIGNAL,0,0,
2026-01-05 03:41:44,2026-01-05 04:40:00,101787.36,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:41:44,2026-01-05 04:40:00,101785.26,-1.0000,0.5000,SELL,0.1,4404.37,LiveTrade
2026-01-05 03:41:54,2026-01-05 04:40:00,101780.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:42:05,2026-01-05 04:40:00,101788.36,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:42:15,2026-01-05 04:40:00,101798.16,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:42:25,2026-01-05 04:40:00,101800.66,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:42:35,2026-01-05 04:40:00,101792.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:42:45,2026-01-05 04:40:00,101790.96,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:42:55,2026-01-05 04:40:00,101780.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:43:06,2026-01-05 04:40:00,101791.26,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:43:16,2026-01-05 04:40:00,101799.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:43:26,2026-01-05 04:40:00,101801.16,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:43:36,2026-01-05 04:40:00,101812.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:43:46,2026-01-05 04:40:00,101816.56,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:43:57,2026-01-05 04:40:00,101822.06,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:44:07,2026-01-05 04:40:00,101813.06,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:44:17,2026-01-05 04:40:00,101818.36,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:44:27,2026-01-05 04:40:00,101824.86,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:44:37,2026-01-05 04:40:00,101828.06,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:44:47,2026-01-05 04:40:00,101829.16,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:44:58,2026-01-05 04:45:00,101823.36,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:45:08,2026-01-05 04:45:00,101823.96,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:45:18,2026-01-05 04:45:00,101821.56,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:45:28,2026-01-05 04:45:00,101819.16,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:45:38,2026-01-05 04:45:00,101824.56,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:45:49,2026-01-05 04:45:00,101834.56,-0.5837,0.5000,SIGNAL,0,0,
2026-01-05 03:45:59,2026-01-05 04:45:00,101838.86,-0.7734,0.5000,SIGNAL,0,0,
2026-01-05 03:46:09,2026-01-05 04:45:00,101828.06,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:46:19,2026-01-05 04:45:00,101817.26,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:46:19,2026-01-05 04:45:00,101815.96,-1.0000,0.5000,SELL,0.1,4401.19,LiveTrade
2026-01-05 03:46:29,2026-01-05 04:45:00,101808.86,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:46:39,2026-01-05 04:45:00,101807.06,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:46:50,2026-01-05 04:45:00,101802.46,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:47:00,2026-01-05 04:45:00,101795.56,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:47:10,2026-01-05 04:45:00,101790.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:47:20,2026-01-05 04:45:00,101790.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:47:31,2026-01-05 04:45:00,101790.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:47:41,2026-01-05 04:45:00,101790.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:47:51,2026-01-05 04:45:00,101790.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:48:01,2026-01-05 04:45:00,101790.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:48:11,2026-01-05 04:45:00,101790.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:48:22,2026-01-05 04:45:00,101790.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:48:32,2026-01-05 04:45:00,101790.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:48:42,2026-01-05 04:45:00,101790.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:48:52,2026-01-05 04:45:00,101790.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:49:02,2026-01-05 04:45:00,101790.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:49:12,2026-01-05 04:45:00,101790.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:49:23,2026-01-05 04:45:00,101790.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:49:33,2026-01-05 04:45:00,101790.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:49:43,2026-01-05 04:45:00,101790.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:49:53,2026-01-05 04:50:00,101790.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:49:54,2026-01-05 04:50:00,101789.86,-1.0000,0.5000,SELL,0.1,4403.63,LiveTrade
2026-01-05 03:50:04,2026-01-05 04:50:00,101785.46,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:50:14,2026-01-05 04:50:00,101784.06,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:50:24,2026-01-05 04:50:00,101795.86,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:50:34,2026-01-05 04:50:00,101791.06,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:50:45,2026-01-05 04:50:00,101795.56,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:50:55,2026-01-05 04:50:00,101789.46,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:51:05,2026-01-05 04:50:00,101774.76,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:51:15,2026-01-05 04:50:00,101775.86,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:51:25,2026-01-05 04:50:00,101773.16,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:51:35,2026-01-05 04:50:00,101766.36,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:51:45,2026-01-05 04:50:00,101766.26,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:51:56,2026-01-05 04:50:00,101764.86,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:52:06,2026-01-05 04:50:00,101763.66,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:52:16,2026-01-05 04:50:00,101765.06,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:52:26,2026-01-05 04:50:00,101760.56,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 03:52:37,2026-01-05 04:50:00,101760.56,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 04:36:54,2026-01-05 05:35:00,101772.86,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 04:36:54,2026-01-05 05:35:00,101771.66,-1.0000,0.5000,SELL,0.1,4405.98,LiveTrade
2026-01-05 04:37:04,2026-01-05 05:35:00,101771.46,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 04:37:14,2026-01-05 05:35:00,101767.36,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 04:37:24,2026-01-05 05:35:00,101766.26,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 04:37:35,2026-01-05 05:35:00,101768.86,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 04:37:45,2026-01-05 05:35:00,101771.26,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 04:37:55,2026-01-05 05:35:00,101774.26,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 04:38:05,2026-01-05 05:35:00,101770.66,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 04:38:16,2026-01-05 05:35:00,101764.26,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 04:38:26,2026-01-05 05:35:00,101760.46,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 04:38:36,2026-01-05 05:35:00,101758.06,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 04:38:46,2026-01-05 05:35:00,101756.66,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 04:38:57,2026-01-05 05:35:00,101746.66,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 04:39:07,2026-01-05 05:35:00,101746.66,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 04:39:17,2026-01-05 05:35:00,101746.66,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 04:39:27,2026-01-05 05:35:00,101746.66,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 04:39:37,2026-01-05 05:35:00,101746.66,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 04:39:47,2026-01-05 05:35:00,101746.66,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 04:39:58,2026-01-05 05:40:00,101746.66,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 04:39:59,2026-01-05 05:40:00,101745.96,-1.0000,0.5000,SELL,0.1,4408.42,LiveTrade
2026-01-05 04:40:09,2026-01-05 05:40:00,101744.76,-1.0000,0.5000,SIGNAL,0,0,
