timestamp,candle_time,equity,action,peak_conv,trade_type,lots,price,comment
2026-01-05 03:55:03,2026-01-05 03:55:00,101760.56,-1.0000,0.0000,SIGNAL,0,0,
2026-01-05 03:55:03,2026-01-05 03:55:00,101758.56,1.0000,0.0000,SELL,0.1,4408.1,OpenV2
2026-01-05 04:00:03,2026-01-05 04:00:00,101783.26,-1.0000,1.0000,SIGNAL,0,0,
2026-01-05 09:55:03,2026-01-05 09:55:00,101641.56,0.6229,0.0000,SIGNAL,0,0,
2026-01-05 09:55:03,2026-01-05 09:55:00,101641.39,0.6229,0.0000,BUY,0.01,4430.62,OpenV2
2026-01-05 10:00:03,2026-01-05 10:00:00,101640.69,1.0000,0.6229,SIGNAL,0,0,
2026-01-05 10:05:03,2026-01-05 10:05:00,101638.88,1.0000,1.0000,SIGNAL,0,0,
2026-01-05 10:10:02,2026-01-05 10:10:00,101637.69,1.0000,1.0000,SIGNAL,0,0,
2026-01-05 10:15:04,2026-01-05 10:15:00,101640.89,1.0000,1.0000,SIGNAL,0,0,
2026-01-05 10:20:02,2026-01-05 10:20:00,101642.71,1.0000,1.0000,SIGNAL,0,0,
2026-01-05 10:25:03,2026-01-05 10:25:00,101645.10,1.0000,1.0000,SIGNAL,0,0,
2026-01-05 10:30:03,2026-01-05 10:30:00,101643.39,1.0000,1.0000,SIGNAL,0,0,
2026-01-05 10:35:02,2026-01-05 10:35:00,101643.78,1.0000,1.0000,SIGNAL,0,0,
2026-01-05 10:40:02,2026-01-05 10:40:00,101643.80,0.4287,1.0000,SIGNAL,0,0,
2026-01-05 10:40:02,2026-01-05 10:40:00,101643.80,0.4287,1.0000,CLOSE,0.01,4432.86,PeakDrop: 1.00->0.43
2026-01-05 10:45:02,2026-01-05 10:45:00,101643.80,0.4922,0.0000,SIGNAL,0,0,
2026-01-05 10:45:02,2026-01-05 10:45:00,101643.64,0.4922,0.0000,BUY,0.01,4436.65,OpenV2
2026-01-05 10:50:03,2026-01-05 10:50:00,101642.35,0.9392,0.4922,SIGNAL,0,0,
2026-01-05 10:55:02,2026-01-05 10:55:00,101642.41,1.0000,0.9392,SIGNAL,0,0,
2026-01-05 11:00:02,2026-01-05 11:00:00,101642.07,1.0000,1.0000,SIGNAL,0,0,
2026-01-05 11:05:03,2026-01-05 11:05:00,101639.44,1.0000,1.0000,SIGNAL,0,0,
2026-01-05 11:10:03,2026-01-05 11:10:00,101639.63,1.0000,1.0000,SIGNAL,0,0,
2026-01-05 11:15:03,2026-01-05 11:15:00,101640.07,1.0000,1.0000,SIGNAL,0,0,
